timestamp,load_kw,solar_kw
2026-07-10 00:00:00,10.615,0.0
2026-07-10 00:15:00,10.652,0.0
2026-07-10 00:30:00,10.51,0.0
2026-07-10 00:45:00,10.188,0.0
2026-07-10 01:00:00,10.862,0.0
2026-07-10 01:15:00,10.733,0.0
2026-07-10 01:30:00,11.214,0.0
2026-07-10 01:45:00,10.843,0.0
2026-07-10 02:00:00,11.085,0.0
2026-07-10 02:15:00,11.106,0.0
2026-07-10 02:30:00,11.144,0.0
2026-07-10 02:45:00,10.373,0.0
2026-07-10 03:00:00,10.794,0.0
2026-07-10 03:15:00,10.942,0.0
2026-07-10 03:30:00,11.327,0.0
2026-07-10 03:45:00,10.588,0.0
2026-07-10 04:00:00,10.903,0.0
2026-07-10 04:15:00,11.096,0.0
2026-07-10 04:30:00,10.869,0.0
2026-07-10 04:45:00,10.802,0.0
2026-07-10 05:00:00,10.467,0.0
2026-07-10 05:15:00,10.682,0.0
2026-07-10 05:30:00,10.71,0.0
2026-07-10 05:45:00,16.525,0.0
2026-07-10 06:00:00,20.554,0.0
2026-07-10 06:15:00,26.754,0.0
2026-07-10 06:30:00,30.782,0.0
2026-07-10 06:45:00,36.459,0.0
2026-07-10 07:00:00,39.288,0.0
2026-07-10 07:15:00,45.179,0.0
2026-07-10 07:30:00,47.274,0.0
2026-07-10 07:45:00,55.709,0.0
2026-07-10 08:00:00,60.097,0.0
2026-07-10 08:15:00,60.843,0.0
2026-07-10 08:30:00,61.307,0.0
2026-07-10 08:45:00,62.221,0.0
2026-07-10 09:00:00,63.295,0.0
2026-07-10 09:15:00,62.245,0.0
2026-07-10 09:30:00,60.867,0.0
2026-07-10 09:45:00,61.402,0.0
2026-07-10 10:00:00,65.97,0.0
2026-07-10 10:15:00,65.431,0.0
2026-07-10 10:30:00,67.138,0.0
2026-07-10 10:45:00,66.793,0.0
2026-07-10 11:00:00,69.15,0.0
2026-07-10 11:15:00,69.448,0.0
2026-07-10 11:30:00,70.777,0.0
2026-07-10 11:45:00,68.06,0.0
2026-07-10 12:00:00,72.264,0.0
2026-07-10 12:15:00,71.457,0.0
2026-07-10 12:30:00,68.967,0.0
