timestamp,cloud_cover,temp_c
2026-07-10 00:00:00,0.1118,22.393
2026-07-10 00:15:00,0.1998,22.343
2026-07-10 00:30:00,0.4684,22.345
2026-07-10 00:45:00,0.036,21.984
2026-07-10 01:00:00,0.3095,22.488
2026-07-10 01:15:00,0.0016,21.701
2026-07-10 01:30:00,0.4292,22.306
2026-07-10 01:45:00,0.0945,21.794
2026-07-10 02:00:00,0.0612,21.804
2026-07-10 02:15:00,0.0,21.846
2026-07-10 02:30:00,0.1736,22.029
2026-07-10 02:45:00,0.1122,22.479
2026-07-10 03:00:00,0.3258,22.254
2026-07-10 03:15:00,0.3117,21.754
2026-07-10 03:30:00,0.0253,21.63
2026-07-10 03:45:00,0.2679,22.252
2026-07-10 04:00:00,0.2793,22.949
2026-07-10 04:15:00,0.1608,22.023
2026-07-10 04:30:00,0.0744,22.53
2026-07-10 04:45:00,0.22,22.941
2026-07-10 05:00:00,0.2288,23.161
2026-07-10 05:15:00,0.1583,23.193
2026-07-10 05:30:00,0.1417,23.011
2026-07-10 05:45:00,0.0042,23.554
2026-07-10 06:00:00,0.2152,23.576
2026-07-10 06:15:00,0.3448,24.017
2026-07-10 06:30:00,0.3759,24.581
2026-07-10 06:45:00,0.1922,24.523
2026-07-10 07:00:00,0.1989,24.389
2026-07-10 07:15:00,0.0248,24.731
2026-07-10 07:30:00,0.0712,25.216
2026-07-10 07:45:00,0.3021,25.051
2026-07-10 08:00:00,0.2687,25.578
2026-07-10 08:15:00,0.1568,25.305
2026-07-10 08:30:00,0.4223,25.85
2026-07-10 08:45:00,0.2718,25.74
2026-07-10 09:00:00,0.0,25.887
2026-07-10 09:15:00,0.0165,26.14
2026-07-10 09:30:00,0.4094,26.828
2026-07-10 09:45:00,0.3659,26.496
2026-07-10 10:00:00,0.092,27.181
2026-07-10 10:15:00,0.1726,27.823
2026-07-10 10:30:00,0.2938,27.932
2026-07-10 10:45:00,0.2753,27.904
2026-07-10 11:00:00,0.261,27.827
2026-07-10 11:15:00,0.0,27.75
2026-07-10 11:30:00,0.3207,27.916
2026-07-10 11:45:00,0.4768,28.4
2026-07-10 12:00:00,0.0368,28.487
2026-07-10 12:15:00,0.0371,28.522
2026-07-10 12:30:00,0.3402,28.655
2026-07-10 12:45:00,0.2663,28.611
2026-07-10 13:00:00,0.2649,28.899
2026-07-10 13:15:00,0.2635,28.517
2026-07-10 13:30:00,0.0953,28.467
2026-07-10 13:45:00,0.2778,28.888
2026-07-10 14:00:00,0.3761,29.065
2026-07-10 14:15:00,0.0,28.628
2026-07-10 14:30:00,0.1751,29.001
2026-07-10 14:45:00,0.069,28.443
2026-07-10 15:00:00,0.2223,28.797
2026-07-10 15:15:00,0.1321,28.852
2026-07-10 15:30:00,0.1427,28.2
2026-07-10 15:45:00,0.3758,28.901
