timestamp,load_kw,solar_kw
2026-07-10 00:00:00,21.611,0.0
2026-07-10 00:15:00,22.324,0.0
2026-07-10 00:30:00,23.374,0.0
2026-07-10 00:45:00,22.358,0.0
2026-07-10 01:00:00,22.92,0.0
2026-07-10 01:15:00,23.925,0.0
2026-07-10 01:30:00,22.568,0.0
2026-07-10 01:45:00,21.748,0.0
2026-07-10 02:00:00,22.095,0.0
2026-07-10 02:15:00,22.081,0.0
2026-07-10 02:30:00,22.727,0.0
2026-07-10 02:45:00,22.105,0.0
2026-07-10 03:00:00,22.547,0.0
2026-07-10 03:15:00,23.382,0.0
2026-07-10 03:30:00,22.19,0.0
2026-07-10 03:45:00,23.078,0.0
2026-07-10 04:00:00,22.476,0.0
2026-07-10 04:15:00,22.245,0.0
2026-07-10 04:30:00,23.068,0.0
2026-07-10 04:45:00,22.358,0.0
2026-07-10 05:00:00,22.66,0.0
2026-07-10 05:15:00,22.631,0.0
2026-07-10 05:30:00,22.924,0.0
2026-07-10 05:45:00,33.356,0.0
2026-07-10 06:00:00,42.864,0.0
2026-07-10 06:15:00,52.873,2.919
2026-07-10 06:30:00,61.397,8.064
2026-07-10 06:45:00,72.965,13.667
2026-07-10 07:00:00,81.581,18.914
2026-07-10 07:15:00,91.315,22.044
2026-07-10 07:30:00,105.35,24.101
2026-07-10 07:45:00,111.4,34.696
2026-07-10 08:00:00,128.173,41.192
2026-07-10 08:15:00,132.074,45.248
2026-07-10 08:30:00,127.281,38.521
2026-07-10 08:45:00,126.527,50.08
2026-07-10 09:00:00,137.136,49.774
2026-07-10 09:15:00,137.24,57.173
2026-07-10 09:30:00,138.838,59.163
2026-07-10 09:45:00,147.614,58.502
2026-07-10 10:00:00,142.231,75.999
2026-07-10 10:15:00,147.757,72.019
2026-07-10 10:30:00,150.583,81.363
2026-07-10 10:45:00,151.651,80.765
2026-07-10 11:00:00,155.889,57.839
2026-07-10 11:15:00,153.805,84.391
2026-07-10 11:30:00,165.6,87.149
2026-07-10 11:45:00,162.976,79.24
2026-07-10 12:00:00,157.909,75.096
2026-07-10 12:15:00,159.448,93.451
